Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes,Cuisines Colours
The Krishna Grand,Banashankari,3.7,5571,750,['7 AM'],['11 PM'],"North Indian, South Indian, Chinese, Fast Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Wifi']",['Veggie friendly'],[],"['GobhiManchurian', 'SpringRoll', 'Breakfast', 'Coffee', 'MasalaPapad', 'TandooriPlatter']","['CourteousStaff', 'FriendlyService']",[],[],"0, 2, 1, 3"
Empire Restaurant,Banashankari,4,51401,600,['12 No'],['1 AM'],"Biryani, Kerala, Mughlai, Arabian, North Indian, Juices","['Home Delivery', 'Buffet']",[],[],"['KalmiKebab', 'GrillChicken', 'BrainFry', 'AlFahamChicken', 'ChilliChicken', 'ChickenSoup']",['FriendlyStaff'],[],[],"4, 16, 18, 28, 0, 21"
Foodiction,Banashankari,2.5,5168,500,['11 AM'],['12 Mi'],"North Indian, Continental, Chinese","['Home Delivery', 'Wallet AcceptedLive Sports ScreeningLive Music']",[],[],['GrilledChicken'],[],[],[],"0, 6, 1"
A2B Veg - Adyar Ananda Bhavan,Banashankari,2.2,561,350,['7 AM'],['11 PM'],"South Indian, North Indian, Street Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],"['MasalaDosa', 'WatermelonJuice']",[],[],[],"2, 0, 9"
Vidyarthi Bhavan,Banashankari,4.2,52984,150,"['630 AM', '2 PM']","['1130 AM', '8 PM']",South Indian,"['Breakfast', 'Home Delivery', 'Vegetarian Only']",['Legendary outlets'],['Decadesold'],"['FilterKaapi', 'FilterCoffee', 'Breakfast', 'BenneMasalaDosa', 'CrispyMasalaDosa', 'MaddurVada']",[],['Decor'],['TheKesariBath'],2
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,4.2,5137,100,['630 AM'],['830 PM'],South Indian,['Vegetarian Only'],['Legendary outlets'],[],"['MasalaDosa', 'KharaBhath', 'FilterCoffee', 'IdliVada', 'IdliChutney', 'KesariBhaat']",[],[],[],2
Manooru Maiya South Kitchen,Banashankari,NA,Not enough,300,"['630 AM', '4 PM']","['130 PM', '930 PM']",South Indian,"['Breakfast', 'Vegetarian Only', 'Self Service']",[],[],[],[],[],[],2
Cakes & Slices,Banashankari,3,55,300,['1030 AM'],['1030 PM'],"Bakery, Desserts","['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[],"8, 5"
Cake Art,Banashankari,3.1,58,400,['7 AM'],['9 PM'],Bakery,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[],8
Kadamba Classic,Banashankari,NA,Not enough,400,['6 AM'],['1230 AM'],"South Indian, North Indian",['Home Delivery'],[],[],[],[],[],[],"2, 0"
New Sri Banashankari Donne Biriyani Corner,Banashankari,3.2,510,250,"['12 No', '7 PM']","['4 PM', '11 PM']","Andhra, Biryani",[],[],[],[],[],[],[],"11, 4"
Amma's Pastries,Banashankari,3.3,518,400,['10 AM'],['10 PM'],Bakery,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[],8
Vinny's,Banashankari,4.1,5810,800,['12 No'],['10 PM'],"Italian, Pizza","['Wheelchair Accessible', 'Serves Non Veg', 'Outdoor Seating']",['Pocket friendly'],[],"['ThinCrustPizza', 'Nachos', 'PenneAlfredo', 'WoodFirePizza', 'ApplePie', 'Manchurian']",['FriendlyStaff'],"['Decor', 'OutdoorAmbience']",['Pasta'],"10, 12"
Iyengar's Kitchen,Banashankari,2.8,512,200,"['7 AM', '4 PM']","['11 AM', '9 PM']",South Indian,['Vegetarian Only'],[],[],[],[],[],[],2
Sri Venkateshwara Sweet Meat Stall,Banashankari,3.6,556,300,['9 AM'],['10 PM'],"Desserts, Street Food","['Vegetarian Only', 'Desserts and Bakes']",[],[],"['MysorePak', 'PavBhaji', 'RasgullaChaat', 'Panipuri', 'Rasmalai', 'BadamMilk']",[],[],[],"5, 9"
