Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes,Cuisines Colours
Siddique Kabab Centre,Brigade Road,3.5,5306,300,['11 AM'],['11 PM'],"Mughlai, Fast Food",['Home Delivery'],[],[],"['GrilledChicken', 'GrillChicken', 'SeekhRoll', 'ChickenBiryani', 'ChickenRoll', 'ChickenKebab']",[],[],[],"18, 3"
Bar UNO - JW Marriott Bengaluru,Brigade Road,3.6,547,2500,['11 AM'],['1 AM'],Spanish,"['Full Bar Available', 'NightlifeWifi']",[],[],[],[],[],[],60
,Brigade Road,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
Fabelle Chocolate Boutique - ITC Gardenia,Brigade Road,4.5,595,1250,['11 AM'],['12 Mi'],"Desserts, Ice Cream","['Home Delivery', 'Valet Parking AvailableDesserts and Bakes']",['Sweet tooth'],[],"['HotChocolate', 'HazelnutIceCream']",[],[],[],"5, 14"
Yauatcha Terrace,Brigade Road,4,565,2500,NA,NA,Finger Food,"['Full Bar Available', 'City ViewRooftopAbove 18 OnlySmoking AreaNightlifeValet Parking Available']",[],[],['DimSum'],[],[],[],19
Harima,Brigade Road,4.1,5429,2000,['12 No'],['1 AM'],Japanese,"['Home Delivery', 'Full Bar Available', 'Outdoor SeatingWifi']",['Pan-Asian delicacies'],['EverythingJapanese'],"['TunaSashimi', 'ShitakeMushrooms', 'SalmonSashimi', 'MakiRoll', 'TofuTeriyaki', 'SalmonSushi']",[],"['Decor', 'WoodenInteriors']",[],34
Biryani Bowl,Brigade Road,NA,Not enough,550,['11 AM'],['1130 PM'],"Biryani, Andhra",['Home Delivery'],[],[],[],[],[],[],"4, 11"
Santhanam Sweets & Savouries,Brigade Road,3.3,520,150,['10 AM'],['10 PM'],"Mithai, Street Food","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"17, 9"
In Wok,Brigade Road,2.8,5100,500,"['12 No', '7 PM']","['330 PM', '11 PM']",Chinese,['Home Delivery'],[],[],['ChickenLollipop'],[],[],[],1
Dosa Sagar,Brigade Road,3.1,510,200,['9 AM'],['930 PM'],"South Indian, Chinese",['Vegetarian Only'],[],[],[],[],[],[],"2, 1"
Sri Krishna Sagar,Brigade Road,2.5,530,400,['630 AM'],['1030 PM'],"South Indian, North Indian, Street Food, Chinese","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],"2, 0, 9, 1"
Sri Saravana Bhavan,Brigade Road,3.6,562,150,['730 AM'],['1030 PM'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['FilterCoffee', 'Pakoda']",[],[],[],2
Punjabi Mehak,Brigade Road,2.8,544,300,"['12 No', '7 PM']","['3 PM', '1030 PM']","North Indian, Chinese",[],[],[],"['Lassi', 'ButterChicken', 'DalMakhani']",[],[],[],"0, 1"
Sri Vasavi Chintamani Chats,Brigade Road,3.1,511,100,['5 PM'],['1030 PM'],"Fast Food, Street Food",['Vegetarian Only'],[],[],[],[],[],[],"3, 9"
Shenzhen The Asian Kitchean,Brigade Road,NA,Not enough,400,['12 No'],['11 PM'],"Japanese, Chinese",['Home Delivery'],[],[],[],[],[],[],"34, 1"
Roll Junction,Brigade Road,NA,Not enough,150,['1 PM'],['10 PM'],Fast Food,['Outdoor Seating'],[],[],[],[],[],[],3
Smoke House Deli,Brigade Road,4.5,51444,1500,['9 AM'],['1130 PM'],"European, Italian, Desserts","['Breakfast', 'Full Bar Available', 'Outdoor SeatingValet Parking Available']",[],['Whiteinteriors'],"['VegBurger', 'PeriPeriChicken', 'Tiramisu', 'CremeBrulee', 'Pancakes', 'MushroomRisotto']","['CourteousStaff', 'FriendlyStaff']","['Decor', 'LovelyAmbience']",[],"26, 10, 5"
,Brigade Road,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
AM Biryani Junction,Brigade Road,NA,Not enough,300,"['11 AM', '630 PM']","['4 PM', '11 PM']","Biryani, North Indian, South Indian",['Home Delivery'],[],[],[],[],[],[],"4, 0, 2"
Ruchi Restaurant,Brigade Road,3,584,500,"['1130 AM', '7 PM']","['330 PM', '11 PM']","North Indian, Chinese, Seafood","['Home Delivery', 'Full Bar Available']",[],[],['ChilliChicken'],[],[],[],"0, 1, 20"
Ottimo - ITC Gardenia,Brigade Road,4.1,5129,2500,['7 PM'],['1130 PM'],Italian,"['Wheelchair Accessible', 'Full Bar Available', 'Luxury DiningWifiLive MusicValet Parking Available4/5 Star']",[],[],"['Bruschettas', 'Tiramisu', 'Scallops', 'ChocolateDessert', 'HotChocolate', 'PrawnSalad']",[],[],[],10
Sreeraj Lassi Bar,Brigade Road,3.5,547,150,['1130 AM'],['1130 PM'],"Desserts, Beverages","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"5, 15"
Maiera Siddiqha Kabab Centre,Brigade Road,NA,Not enough,200,['430 PM'],['1130 PM'],"North Indian, Fast Food",[],[],[],[],[],[],[],"0, 3"
Om Ganesh Fruit Juice Center,Brigade Road,3,55,150,['10 AM'],['10 PM'],"Juices, Desserts","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"21, 5"
Kohinoor Restaurant,Brigade Road,3.2,57,500,['8 AM'],['11 PM'],"North Indian, South Indian, Chinese",['Breakfast'],[],[],[],[],[],[],"0, 2, 1"
Wild Spice,Brigade Road,3.6,5126,400,"['1 PM', '630 PM']","['430 PM', '12 Mi']",South Indian,"['Home Delivery', 'Full Bar Available']",[],[],"['GheeRice', 'PorkDry', 'PandiCurry', 'CoorgiPorkFry', 'ChilliPork']",[],[],[],2
Vishnu Sagar,Brigade Road,2.7,524,400,['11 AM'],['10 PM'],"South Indian, Chinese, North Indian",['Vegetarian Only'],[],[],[],[],[],[],"2, 1, 0"
Pop'z Kitchen,Brigade Road,3.1,58,250,['9 AM'],['9 PM'],Bakery,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[],8
Zodiac - Fortune Select JP Cosmos Hotel,Brigade Road,3.4,556,1800,['24 Ho'],[],"North Indian, South Indian, Chinese, Continental","['Breakfast', 'Full Bar Available', 'Buffet']",[],[],"['LunchBuffet', 'BreakfastBuffet', 'Panipuri', 'ChickenSalad', 'FriedRice']",[],[],[],"0, 2, 1, 6"
Dolci,Brigade Road,3.9,5316,300,['10 AM'],['10 PM'],"Bakery, Desserts","['Home Delivery', 'Outdoor SeatingDesserts and Bakes']",['Sweet tooth'],[],"['IceTea', 'OreoCheesecake', 'Tiramisu', 'Coffee', 'HotChocolate', 'BlueberryCheesecake']",[],"['Decor', 'ComfortableAmbience']",[],"8, 5"
The French Loaf,Brigade Road,NA,Not enough,400,['10 AM'],['10 PM'],"Bakery, Desserts","['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[],"8, 5"
Natural Ice Cream,Brigade Road,4.1,5157,150,['11 AM'],['11 PM'],"Ice Cream, Desserts","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",['Frozen delights'],[],"['TenderCoconutIceCream', 'Coffee', 'SitaphalIceCream', 'MangoIceCream', 'WafflesCone']",[],[],[],"14, 5"
Chaska-E-Dilli,Brigade Road,3.1,54,500,['9 AM'],['1030 PM'],North Indian,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],0
Papa John's,Brigade Road,2.9,527,750,['11 AM'],['11 PM'],Pizza,[],[],[],[],[],[],[],12
Kopas Shack,Brigade Road,3.2,58,300,['1130 AM'],['3 AM'],"Burger, Fast Food",[],[],[],[],[],[],[],"25, 3"
Hotel Ramprasad,Brigade Road,3.3,521,300,['7 AM'],['6 PM'],"South Indian, Fast Food","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"2, 3"
My Cafe - ITC My Fortune,Brigade Road,3.3,525,2000,['24 Ho'],[],"Italian, Continental, North Indian","['Wheelchair Accessible', 'Full Bar Available', 'Smoking AreaWifiBuffet']",[],[],[],[],[],[],"10, 6, 0"
Al Sadique Restaurant,Brigade Road,3.1,520,350,['11 AM'],['11 PM'],"Mughlai, North Indian, Street Food",['Home Delivery'],[],[],[],[],[],[],"18, 0, 9"
Gelato Italiano,Brigade Road,3.2,524,200,['10 AM'],['10 PM'],Ice Cream,"['Home Delivery', 'Vegetarian Only', 'Outdoor SeatingDesserts and Bakes']",[],[],[],[],[],[],14
Chutney Chang,Brigade Road,3.9,53878,1500,"['12 No', '7 PM']","['330 PM', '1130 PM']","North Indian, Chinese","['Wheelchair Accessible', 'BuffetWallet AcceptedOutdoor SeatingKid FriendlyValet Parking Available']",['Great buffets'],[],"['ChocolateWonton', 'Dumplings', 'ChickenCurry', 'PapdiChaat', 'RajKachori', 'ChickenMomos']","['CourteousService', 'CourteousStaff']","['Decor', 'LiveGrill']","['ChineseFish', 'Chaas']","0, 1"
Kentacky Chicken Corner,Brigade Road,3.7,532,300,['5 PM'],['12 Mi'],"Andhra, South Indian",[],[],[],"['ChickenCurry', 'PrawnFry']",[],[],[],"11, 2"
The Charlton Bar,Brigade Road,NA,Not enough,1000,"['11 AM', '630 PM']","['3 PM', '11 PM']","Chinese, North Indian","['Vegetarian Only', 'Full Bar Available', 'Nightlife']",[],[],[],[],[],[],"1, 0"
The Ritz-Carlton Bar - The Ritz-Carlton,Brigade Road,3.5,541,2000,['5 PM'],['1 AM'],Finger Food,"['Full Bar Available', 'Serves CocktailsWifiNightlife4/5 Star']",[],[],[],[],[],[],19
Home Treat,Brigade Road,2.8,55,150,['9 AM'],['10 PM'],North Indian,[],[],[],[],[],[],[],0
The Cake House,Brigade Road,3.3,516,200,['8 AM'],['10 PM'],"Desserts, Bakery","['Takeaway Only', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[],"5, 8"
Soul City,Brigade Road,3.4,5178,1500,"['630 AM', '1130 AM', '7 PM']","['1030 AM', '330 PM', '1130 PM']","Italian, Chinese, Continental, North Indian, Seafood, Thai","['Breakfast', 'Full Bar Available']",[],[],"['Breakfast', 'Brownie', 'ChickenSandwich', 'LunchBuffet', 'GrilledFish']",[],['Decor'],[],"10, 1, 6, 0, 20, 22"
The ThickShake Factory,Brigade Road,4,5112,300,['11 AM'],['10 PM'],"Beverages, Juices","['Vegetarian Only', 'Wifi']",[],[],"['ThickShake', 'BelgiumChocolate', 'BelgianChocolateShake']",[],[],[],"15, 21"
Express Food Delivery,Brigade Road,NA,Not enough,450,['24 Ho'],[],"North Indian, South Indian, Chinese","['Breakfast', 'Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],"0, 2, 1"
Hunger Hitman,Brigade Road,3.4,585,300,['10 PM'],['4 AM'],"North Indian, Chinese","['Delivery Only', 'Seating Not Available']",[],[],"['ButterChicken', 'GajarKaHalwa', 'ChilliChicken']",[],[],[],"0, 1"
The Sugar Therapy,Brigade Road,3.5,520,500,['7 AM'],['10 PM'],"Bakery, Desserts","['Delivery Only', 'Seating Not Available', 'Pre-Ordering RequiredDesserts and BakesHome Baker']",[],[],[],[],[],[],"8, 5"
Ibaco,Brigade Road,3.7,560,150,['10 AM'],['11 PM'],"Ice Cream, Desserts","['Vegetarian Only', 'Desserts and Bakes']",[],[],['IceCreamCake'],[],[],[],"14, 5"
Waffle Stories,Brigade Road,3.8,5195,300,['11 AM'],['11 PM'],Desserts,"['Home Delivery', 'WifiDesserts and Bakes']",[],[],"['NutellaWaffles', 'ThickShake', 'Eclair', 'ChocochipWaffles', 'KitKatWaffles', 'Cappuccino']",[],[],[],5
Mezz 9 Lounge Bar - Tiffanys,Brigade Road,2.9,515,1000,['11 AM'],['11 PM'],North Indian,['Full Bar Available'],[],[],[],[],[],[],0
Talk Ease,Brigade Road,NA,Not enough,200,['11 AM'],['11 PM'],Cafe,"['Breakfast', 'Outdoor Seating']",[],[],[],[],[],[],7
Adda,Brigade Road,NA,Not enough,300,['8 AM'],['11 PM'],Fast Food,['Home Delivery'],[],[],[],[],[],[],3
Polo Club - The Oberoi,Brigade Road,3.9,588,3000,['1045 AM'],['11 PM'],"American, North Indian, European, Tex-Mex","['Wheelchair Accessible', 'Full Bar Available', '4/5 StarOutdoor SeatingLuxury DiningWifi']",[],[],"['Coffee', 'Fries', 'CheeseCroquettes', 'Cheesecake']",[],[],[],"13, 0, 26, 47"
Garam Naram,Brigade Road,3.6,5140,400,['11 AM'],['11 PM'],"North Indian, Street Food",[],[],[],"['GobhiManchurian', 'ButterChicken', 'PunjabiParatha', 'MethiParatha', 'SweetLassi', 'MangoLassi']",[],[],[],"0, 9"
Just Baked,Brigade Road,NA,Not enough,400,['11 AM'],['11 PM'],"Bakery, Desserts","['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[],"8, 5"
Anupam's Kafe Bytes,Brigade Road,NA,Not enough,500,['10 AM'],['10 PM'],"Cafe, Fast Food",['Home Delivery'],[],[],[],[],[],[],"7, 3"
BLOW,Brigade Road,3.9,5252,750,"['12 Mi', '11 AM']","['1 AM', '12 Mi']","Cafe, Continental, American","['Home Delivery', 'Valet Parking AvailableLive Sports ScreeningWallet Accepted']","['Live sports screenings', 'Sheesha lounges']",[],"['Shisha', 'Coffee', 'HazelnutFrappe', 'Fries', 'Nachos', 'ChickenBurger']",[],"['Decor', 'ComfortableSeating']",[],"7, 6, 13"
Truffles,Brigade Road,4.5,52577,800,['11 AM'],['1030 PM'],"American, Burger, Cafe","['Home Delivery', 'Table booking not available', 'Outdoor Seating']","['Kickass burgers', 'Great cafes', 'Sweet tooth']",[],"['Pancakes', 'AmericanCheeseBurger', 'ChickenWings', 'PeriPeriChickenBurger', 'ChocolateTruffle', 'FerreroRocherPastry']","['CourteousStaff', 'FriendlyStaff']",['Decor'],[],"13, 25, 7"
Soul Cafe,Brigade Road,3.5,5149,700,['11 AM'],['11 PM'],"Cafe, Continental, Italian",['Live MusicOutdoor SeatingLive Sports ScreeningSmoking Area'],"['Great cafes', 'Sheesha lounges']",[],"['Shisha', 'HazelnutCoffee', 'IceTea']","['CourteousStaff', 'FriendlyStaff']",['Decor'],[],"7, 6, 10"
MM Bar & Restaurant,Brigade Road,NA,Not enough,500,['11 AM'],['11 PM'],"Chinese, South Indian","['Full Bar Available', 'NightlifeSmoking Area']",[],[],[],[],[],[],"1, 2"
Mubarak Hotel,Brigade Road,NA,Not enough,350,['7 AM'],['12 Mi'],North Indian,['Breakfast'],[],[],[],[],[],[],0
Juicy Momos,Brigade Road,NA,Not enough,250,['11 AM'],['11 PM'],Street Food,"['Home Delivery', 'Seating Not Available', 'Zomato Fulfilled Delivery']",[],[],[],[],[],[],9
Three Quarter Chinese,Brigade Road,3.8,51405,1300,"['12 No', '7 PM']","['330 PM', '11 PM']","Chinese, Asian",['Valet Parking AvailableBuffet'],"['Great buffets', 'Pan-Asian delicacies']",[],"['ChickenMomos', 'PrawnFry', 'DimSum', 'KeemaDosa', 'Appam', 'ChickenWings']",[],[],[],"1, 23"
Vyshali Food Corner,Brigade Road,NA,Not enough,150,['1130 AM'],['11 PM'],North Indian,[],[],[],[],[],[],[],0
Airlines Hotel,Brigade Road,3.7,5621,400,['7 AM'],['10 PM'],"South Indian, North Indian","['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['MasalaDosa', 'Breakfast', 'GobhiManchurian', 'CholeBhature', 'Upma', 'FilterCoffee']",[],"['LovelyAmbience', 'OutdoorSeating']",[],"2, 0"
Siddappa Hotel,Brigade Road,3.8,5135,150,['830 AM'],['12 No'],South Indian,"['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['MasalaDosa', 'KaliDosa', 'GheeKhaliDosa', 'TomatoRice', 'PlainDosa']",[],[],[],2
Donne biryani,Brigade Road,NA,Not enough,200,['10 AM'],['10 PM'],Biryani,[],[],[],[],[],[],[],4
Behrouz Biryani,Brigade Road,3.3,525,600,['11 AM'],['11 PM'],Biryani,"['Delivery Only', 'Seating Not Available', 'Serves Halal']",[],['FreshIngredients'],['SubzBiryani'],[],[],[],4
Szechwan Court - The Oberoi,Brigade Road,3.9,5145,2500,"['1230 PM', '730 PM']","['3 PM', '1130 PM']",Chinese,"['Wheelchair Accessible', 'Full Bar Available', 'Luxury DiningWifi4/5 Star']",['Luxury dining'],[],"['DimSum', 'ClearSoup', 'PekingDuck', 'SesameChicken', 'JasmineTea']",[],[],[],1
The Yellow Chilli,Brigade Road,3.9,5397,1800,"['12 No', '7 PM']","['330 PM', '1130 PM']","North Indian, Mughlai, Biryani","['Wheelchair Accessible', 'Full Bar Available', 'Valet Parking AvailableLive Sports Screening']","['Flavours of Punjab', 'ICICI Bank Culinary Treats']",[],"['SpringRoll', 'Rabri', 'ButterChicken', 'Chaach', 'Jal-jeera', 'VegPlatter']",['CourteousStaff'],['Decor'],['KesariKulfiWithRabdi'],"0, 18, 4"
Thalassa - The Mediterranean Terrace Lounge,Brigade Road,3.6,557,1000,['12 No'],['1 AM'],"Mediterranean, North Indian","['Full Bar Available', 'Valet Parking AvailableSmoking AreaNightlife']",[],[],['Shisha'],[],[],[],"27, 0"
Nawab's Kolkatta Roll,Brigade Road,NA,Not enough,150,['11 AM'],['1030 PM'],Street Food,[],[],[],[],[],[],[],9
Russh Gastropub,Brigade Road,3.5,5537,1100,['11 AM'],['1 AM'],Continental,"['Serves Non Veg', 'Full Bar Available', 'Smoking AreaValet Parking AvailableNightlife']",[],[],"['Nachos', 'Beer', 'Tiramisu', 'PepperoniPizza', 'OnionRings', 'HotDog']",['FriendlyStaff'],"['ComfortableSeating', 'Dj']",[],6
Mamma Mexicana,Brigade Road,2.4,5278,1000,"['12 No', '7 PM']","['330 PM', '1130 PM']",Mexican,"['Full Bar Available', 'Smoking Area']",[],[],"['Nachos', 'OreoShake', 'MushroomSoup', 'TortillaSoup', 'ChickenBurrito', 'PotatoWedges']",['CourteousStaff'],[],[],32
Cha Bar,Brigade Road,NA,Not enough,300,['10 AM'],['10 PM'],"Cafe, Tea",['Desserts and Bakes'],[],[],[],[],[],[],"7, 38"
Toast & Tonic,Brigade Road,4.6,5405,1500,"['12 No', '7 PM']","['3 PM', '11 PM']","European, Asian","['Breakfast', 'Full Bar Available', 'Valet Parking AvailableAbove 18 OnlySmoking Area']","['Romantic', 'European & Mediterranean']",[],"['MushroomToast', 'PumpkinGnocchi', 'Beer', 'SmokedGoatCheeseTostada', 'Brownie', 'TomatoSoup']",[],['LovelyAmbience'],[],"26, 23"
i-Bar - The Park,Brigade Road,3.6,5444,3000,['6 PM'],['1 AM'],"North Indian, Chinese, Mediterranean","['Wheelchair Accessible', 'Full Bar Available', 'Nightlife4/5 Star']",[],[],[],"['DanceFloor', 'Dj']",[],[],"0, 1, 27"
Rock n Roll,Brigade Road,NA,Not enough,500,['11 AM'],['11 PM'],Fast Food,['Outdoor Seating'],[],[],[],[],[],[],3
Priya Bakery,Brigade Road,NA,Not enough,150,['11 AM'],['10 PM'],"Bakery, Beverages",['Desserts and Bakes'],[],[],[],[],[],[],"8, 15"
Subway,Brigade Road,3.1,549,600,['11 AM'],['11 PM'],"Fast Food, Salad, Healthy Food",[],[],[],[],[],[],[],"3, 30, 24"
Barista,Brigade Road,2.7,525,300,['9 AM'],['11 PM'],"Cafe, Italian",['Wifi'],[],[],[],[],[],[],"7, 10"
Ishta Upahar,Brigade Road,3,56,100,['8 AM'],['10 PM'],Street Food,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],9
ThrowBack - Pub & Dine,Brigade Road,3.3,513,1000,['7 AM'],['1 AM'],"Italian, North Indian, Continental","['Breakfast', 'Full Bar Available', 'Nightlife']",[],[],[],[],[],[],"10, 0, 6"
Sri Sai Sagar Food,Brigade Road,NA,Not enough,300,['10 AM'],['9 PM'],"Street Food, Fast Food, North Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],"9, 3, 0"
Breadworks,Brigade Road,NA,Not enough,500,['8 AM'],['10 PM'],"Fast Food, Cafe","['Breakfast', 'Desserts and Bakes']",[],[],[],[],[],[],"3, 7"
Up Bhavan,Brigade Road,NA,Not enough,150,['10 AM'],['10 PM'],"Desserts, Street Food","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"5, 9"
Teppan Japanese Grill & Sushi Bar,Brigade Road,4.2,5570,2000,"['12 No', '7 PM']","['3 PM', '11 PM']",Japanese,"['Full Bar Available', 'Outdoor Seating']",[],[],"['CaliforniaRoll', 'MakiRoll', 'JumboPrawn', 'LiveTeppanyakiGrill', 'SashimiRoll', 'TunaSalad']","['CourteousStaff', 'FriendlyStaff']","['Decor', 'LiveGrill']",[],34
iTiffin,Brigade Road,2.7,518,200,['9 AM'],['6 PM'],Healthy Food,"['Breakfast', 'Home Delivery', 'Slot Based DeliveryVariable MenuMeal Boxes Available']",[],[],[],[],[],[],24
Chikkanna Tiffin,Brigade Road,3.9,576,150,['730 AM'],['12 No'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['MasalaDosa', 'KaliDosa', 'SetDosa', 'MiniDosa']",[],[],[],2
Eden Park,Brigade Road,3.6,5146,1100,['11 AM'],['11 PM'],"North Indian, Chinese, Andhra","['Breakfast', 'Full Bar Available', 'Outdoor SeatingSmoking Area']",['Brilliant biryanis'],[],"['GunturChicken', 'ChickenBiryani', 'AndhraMeal', 'AndhraStyleBiryani', 'BabycornManchurian', 'AndhraStyleChilliChicken']",[],[],[],"0, 1, 11"
The Lobby Lounge - The Ritz-Carlton,Brigade Road,3.3,512,2000,['11 AM'],['8 PM'],Beverages,"['Full Bar Available', 'Wifi4/5 Star']",[],[],[],[],[],[],15
Ta'aam,Brigade Road,3.8,5313,750,"['12 No', '7 PM']","['4 PM', '11 PM']","North Indian, Mughlai, Arabian, Chinese",['Home Delivery'],[],[],"['LahamMandi', 'MuttonChops', 'ChickenHyderabadi', 'MandiBiryani', 'MuttonKofta', 'MuttonSoup']",[],[],['KalmiKabab'],"0, 18, 28, 1"
Cool Joint,Brigade Road,3.2,519,250,['1030 AM'],['1030 PM'],"Desserts, Beverages",['Vegetarian Only'],[],[],[],[],[],[],"5, 15"
Fusion Lounge,Brigade Road,2.1,5319,1500,['1130 AM'],['1130 PM'],Finger Food,"['Full Bar Available', 'Nightlife']",[],[],[],['Dj'],[],[],19
Page 3 Multicuisine Restaurant & Bar,Brigade Road,NA,Not enough,800,['1030 AM'],['1130 PM'],"North Indian, Chinese, Finger Food","['Full Bar Available', 'Nightlife']",[],[],[],[],[],[],"0, 1, 19"
Namma Dosa Mane,Brigade Road,NA,Not enough,250,['8 AM'],['8 PM'],South Indian,"['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],2
Sri Krishna The Dhaba,Brigade Road,NA,Not enough,400,['8 AM'],['10 PM'],North Indian,['Breakfast'],[],[],[],[],[],[],0
Chugg,Brigade Road,3.6,5111,1000,['11 AM'],['1 AM'],"Finger Food, Continental, Asian, North Indian","['Wheelchair Accessible', 'Full Bar Available', 'WifiLive Sports ScreeningValet Parking AvailableSmoking AreaNightlifeOutdoor Seating']",['Best bars & pubs'],[],"['CheesyFries', 'Beer', 'Nachos', 'ChickenTikka', 'FrenchFries', 'ChickenWings']",[],"['OutdoorSeating', 'CozyPlace']",[],"19, 6, 23, 0"
Nostradamus Bar & Lounge,Brigade Road,3.1,517,1500,['11 AM'],['1145 PM'],"North Indian, South Indian, Chinese, Continental","['Wheelchair Accessible', 'Full Bar Available', 'Valet Parking AvailableSmoking AreaWifiNightlifeOutdoor Seating']",[],[],[],[],[],[],"0, 2, 1, 6"
The Market - The Ritz-Carlton,Brigade Road,4,5376,3400,['630 AM'],['1230 AM'],"North Indian, European, South Indian, Thai","['Breakfast', 'Full Bar Available', 'Valet Parking Available4/5 StarLuxury DiningBuffet']","['Sunday brunches', 'Late night restaurants', 'Great buffets']",[],"['Sushi', 'TandooriChicken', 'VegBiryani', 'Waffles', 'MushroomSoup', 'BakedCheesecake']",['CourteousStaff'],"['Decor', 'Dj']",[],"0, 26, 2, 22"
Jyothi Prakash,Brigade Road,NA,Not enough,150,['630 AM'],['1030 PM'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],2
Big Straw - Chew On This,Brigade Road,3.8,5175,400,['11 AM'],['1030 PM'],"Fast Food, Cafe","['Home Delivery', 'Wheelchair Accessible', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['PestoFestPizza', 'BlueberryBombs', 'IceTea', 'MangoSmoothie', 'PotatoWedges']",[],[],[],"3, 7"
Blue Frog,Brigade Road,3.6,5355,2200,['12 No'],['1 AM'],"European, Asian","['Wheelchair Accessible', 'Full Bar Available', 'WifiNightlifeOutdoor SeatingSmoking AreaLive Sports ScreeningLive MusicValet Parking Available']",[],[],"['Nachos', 'AppleJuice', 'Beer', 'ChickenWings', 'ChickenBurger', 'LemonMustardFish']",[],"['Decor', 'DanceFloor']",[],"26, 23"
Jimi's Beer Cafe,Brigade Road,3.4,5217,1500,['11 AM'],['11 PM'],"American, North Indian, Chinese","['Full Bar Available', 'Smoking AreaNightlife']",[],[],"['Beer', 'Nachos', 'PeanutMasala', 'PotatoWedges', 'FrenchFries', 'MashedPotato']",['Dj'],[],[],"13, 0, 1"
Riwaz - The Ritz-Carlton,Brigade Road,4,5174,4000,['1230 PM'],['1130 PM'],North Indian,"['Full Bar Available', 'Buffet4/5 StarValet Parking AvailableWifiLuxury Dining']",[],[],"['CardamomPudding', 'DalMakhani', 'TandooriBroccoli', 'TamatarKaShorba', 'Kulfi', 'KebabPlatter']",[],[],[],0
Maaheshwari Chaat Wala,Brigade Road,3.3,510,100,['10 AM'],['10 PM'],Street Food,['Vegetarian Only'],[],[],[],[],[],[],9
Al Noor,Brigade Road,3.2,57,350,['1 PM'],['12 Mi'],"North Indian, Chinese",[],[],[],[],[],[],[],"0, 1"
Kabab Nation Corner,Brigade Road,3.1,514,500,['11 AM'],['11 PM'],"Chinese, Arabian, Fast Food",['Home Delivery'],[],[],[],[],[],[],"1, 28, 3"
Kanti Sweets,Brigade Road,3.3,541,200,['8 AM'],['1130 PM'],Mithai,"['Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],[],[],[],[],17
Oh! Calcutta,Brigade Road,4,5572,1200,"['12 No', '7 PM']","['330 PM', '11 PM']","Bengali, Seafood","['Home Delivery', 'Wheelchair Accessible', 'Full Bar Available', 'Smoking AreaBuffetValet Parking Available']",['ICICI Bank Culinary Treats'],[],"['Luchi', 'KoshaMangsho', 'RailwayMuttonCurry', 'Rasgulla', 'DaabChingri', 'FishFry']",['CourteousStaff'],[],"['DaabChingri', 'GondhorajMaachh']","29, 20"
Radhika Veg Delite,Brigade Road,NA,Not enough,400,['7 AM'],['10 PM'],"South Indian, North Indian","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"2, 0"
Nandhini Donne Biriyani,Brigade Road,NA,Not enough,300,['1230 PM'],['10 PM'],Biryani,[],[],[],[],[],[],[],4
Matteo Coffea,Brigade Road,4.1,52149,600,['10 AM'],['11 PM'],Cafe,['Outdoor SeatingWifi'],['Great cafes'],[],"['ChocoBrownieShake', 'TiramisuCheesecake', 'Donut', 'ChocolateEspresso', 'TunaSandwich', 'ChocolatePie']","['CourteousStaff', 'FriendlyStaff']","['LovelyAmbience', 'Decor']",[],7
Maratha Darshan,Brigade Road,3.6,578,400,['1230 PM'],['4 PM'],"Maharashtrian, North Indian",[],[],[],"['MuttonCurry', 'RagiMudde', 'ChickenMasala', 'Buttermilk', 'ChickenFry', 'MuttonBiryani']",[],[],[],"37, 0"
