Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes
Food-E,Koramangala,3.9,5171,400,['12 No'],['11 PM'],Continental,"['Home Delivery', 'Outdoor SeatingWifiSmoking Area']","['Featured in Collection', 'Pocket friendly']",[],"['FoodPalakPaneer', 'ChocolateSmoothie', 'Fries', 'GalautiBurger', 'PaneerBurger', 'KashmiriKahwa']",['ServiceCourteousStaff'],['Look&FeelDecor'],[]
Night Panda,Koramangala,3.2,5163,500,['830 PM'],['330 AM'],Fast Food,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],"['FoodManchurian', 'ChickenDrumstick', 'Brownie', 'Breakfast']",[],[],[]
Creamosaurus,Koramangala,3.3,510,250,['10 AM'],['10 PM'],Cafe,"['Home Delivery', 'Desserts and BakesBoard Games']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Box8,Koramangala,4,579,500,['11 AM'],['1 AM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Known For', 'Indian meals - All-in-1 meals', 'Fusion Box', 'Biryani', 'Wraps', 'Sandwiches']","['Indianmeals-All-in-1meals', 'FusionBox', 'Biryani', 'Wraps']","['FoodGulabJamun', 'ChickenWrap', 'MasalaLemonade', 'Chocolava', 'IceTea', 'DalMakhaniMeal']",[],[],[]
Calcutta Style Chats & Parotha,Koramangala,3,56,100,['8 AM'],['8 PM'],Street Food,[],[],[],[],[],[],[]
Amravati,Koramangala,3.1,517,400,"['1130 AM', '7 PM']","['330 PM', '11 PM']",North Indian,['Home Delivery'],"['Report Error', 'Claimed listing']",[],[],[],[],[]
A Cafe from Amande,Koramangala,3.2,59,650,['10 AM'],['11 PM'],Cafe,['Wallet Accepted'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Hari Super Sandwich,Koramangala,3.6,536,200,['10 AM'],['930 PM'],Fast Food,"['Home Delivery', 'Seating Not Available', 'Vegetarian Only']","['Report Error', 'Claim this listing']",[],['FoodCornSandwich'],[],[],[]
Freezing Pan,Koramangala,3.5,519,200,['10 AM'],['11 PM'],Desserts,['Desserts and BakesOutdoor Seating'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Victoria Terminus,Koramangala,3,54,200,['11 AM'],['11 PM'],Fast Food,"['Home Delivery', 'Outdoor Seating']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Ammi's Biryani,Koramangala,2.4,5217,500,['12 No'],['11 PM'],Biryani,['Home Delivery'],"['Known For', 'Home-like taste with natural ingredients enhancing the flavour and aroma', 'meat marinated in hand-picked spices']",['Home-liketastewithnaturalingredientsenhancingtheflavourandaroma'],"['FoodChickenKebab', 'Kheer', 'HyderabadiChickenBiryani', 'MuttonBiryani', 'ChickenTikkaBiryani']",[],[],[]
Maven Foods,Koramangala,3.1,55,300,NA,NA,Continental,"['Breakfast', 'Home Delivery']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Tandoor Hut,Koramangala,3.8,5878,400,"['11 AM', '730 PM']","['330 PM', '11 PM']",North Indian,['Home Delivery'],"['Featured in Collections', 'Pocket friendly', 'Flavours of Punjab']",[],"['FoodMurghPunjabi', 'ButterNaan', 'MuttonRoganjosh', 'Kulcha', 'Lassi', 'TandooriChicken']",[],[],[]
FYI,Koramangala,3.7,5121,300,['11 AM'],['11 PM'],Pizza,['Home Delivery'],"['Report Error', 'Claimed listing']",[],"['FoodChocolateSandwich', 'Momos', 'Coffee']",['ServiceFriendlyStaff'],[],[]
Crunch Pizzas,Koramangala,3.8,524,600,['24 Ho'],[],Italian,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Uday Sweets,Koramangala,3.3,516,250,['10 AM'],['10 PM'],Mithai,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']","['Report Error', 'Claim this listing']",[],[],[],[],[]
Namma Calcutta,Koramangala,NA,Not enough,500,['7 AM'],['1030 PM'],Fast Food,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Panch Phoron,Koramangala,3.1,5240,600,['12 No'],['11 PM'],Bengali,['Home Delivery'],"['Report Error', 'Claimed listing']",[],"['FoodDoiKatla', 'MishtiDoi', 'VegThali', 'AlooBhaja', 'ChickenKasha', 'DoiPotol']",[],[],[]
Barbeque kitchen,Koramangala,NA,Not enough,200,['11 AM'],['11 PM'],North Indian,"['Home Delivery', 'Seating Not Available']","['Report Error', 'Claim this listing']",[],[],[],[],[]
Parivaar,Koramangala,2.6,55,500,['7 PM'],['4 AM'],North Indian,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Spicy Kababzzz,Koramangala,3.1,56,500,['12 No'],['1030 PM'],North Indian,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Savitha Family Restaurant,Koramangala,3.3,5107,500,"['11 AM', '7 PM']","['4 PM', '11 PM']",North Indian,['Home Delivery'],"['Report Error', 'Claimed listing']",[],"['FoodButterNaan', 'WheatParatha', 'EggBhurji', 'ChickenTikkaMasala']",[],[],[]
Banana Beach Bar,Koramangala,3.4,5840,1000,['12 No'],['1130 PM'],North Indian,"['Wheelchair Accessible', 'Full Bar Available', 'NightlifeValet Parking AvailableSmoking AreaOutdoor Seating']","['Known For', ""It's Jamaican ambience""]",[],"['FoodChickenWings', 'Nachos', 'ChilliChicken', 'SpringRoll']",[],"['Look&FeelLiveMusic', 'Decor']",['DragonChicken']
Yummy Biryani,Koramangala,3,58,200,['12 No'],['11 PM'],Biryani,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Bangalore Time Out,Koramangala,3.3,530,600,"['12 No', '7 PM']","['4 PM', '11 PM']",Biryani,[],[],[],['ServiceCourteousStaff'],[],[],[]
Kottaram Hotel,Koramangala,NA,Not enough,400,['11 AM'],['11 PM'],South Indian,['Home Delivery'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Blue Moustache,Koramangala,3.1,5397,900,['11 AM'],['11 PM'],Burger,"['Home Delivery', 'Serves Non Veg', 'Full Bar Available', 'NightlifeOutdoor SeatingLive Sports ScreeningLive MusicSmoking Area']","['Known For', 'their bowling alley']",[],"['FoodBeer', 'Nachos', 'ShepherdsPie', 'Shisha', 'BeefSatay', 'PeriPeriChicken']",['ServiceCourteousStaff'],"['Look&FeelBowlingAlley', 'Cozy']",[]
Midnight Pizza Slurpp,Koramangala,3.6,580,700,"['12 Mi', '6 PM']","['8 AM', '12 Mi']",Italian,"['Delivery Only', 'Seating Not Available', 'Serves Halal']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Short Eats,Koramangala,NA,Not enough,100,['11 AM'],['11 PM'],Fast Food,"['Home Delivery', 'Vegetarian Only', 'Table booking not available']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Andal Mess,Koramangala,NA,Not enough,250,['1130 AM'],['1045 PM'],South Indian,['Breakfast'],"['Report Error', 'Claim this listing']",[],[],[],[],[]
Chettayees,Koramangala,3.2,58,600,['730 AM'],['1130 PM'],Kerala,"['Breakfast', 'Wallet Accepted']","['Report Error', 'Claim this listing']",[],[],[],[],[]
Zingron,Koramangala,3.8,5347,650,['1130 AM'],['11 PM'],Chinese,['Home Delivery'],"['Known For', 'Serving authentic Naga cuisine.']",[],"['FoodBeefChutney', 'SmokedPorkRibs', 'PorkMomos', 'PorkMeat', 'PorkPlatter', 'PlainRice']",['ServiceCourteousStaff'],['Look&FeelComfortableSeating'],"['RiceBeer', 'SmokedPorkRibs']"
The Hole in the Wall Cafe,Koramangala,4.5,55086,600,"['8 AM', '530 PM']","['3 PM', '830 PM']",Cafe,"['Breakfast', 'Wheelchair Accessible', 'Outdoor Seating']","['Featured in Collections', 'Great cafes', 'Great breakfasts']",[],"['FoodWaffles', 'HealthyBreakfast', 'Pancakes', 'EnglishBreakfast', 'Omelette', 'GrapeJuice']","['ServiceCourteousStaff', 'FriendlyStaff']","['Look&FeelDecor', 'BreakfastJoint']","['Pancakes', 'Waffles', 'AllEnglishBreakfast', 'Chicken/Porky9Yards']"
Kaaram,Koramangala,3.7,5114,500,['12 No'],['11 PM'],Andhra,"['Home Delivery', 'Serves Non Veg']","['Report Error', 'Claimed listing']",[],"['FoodVegBiryani', 'KaaramBiryani', 'ChickenBonelessBiryani', 'AndhraBiryani', 'KebabBiryani']",[],[],[]
Dada's Kitchen,Koramangala,3.3,511,300,['9 PM'],['3 AM'],Bengali,"['Delivery Only', 'Seating Not Available']","['Report Error', 'Claimed listing']",[],[],[],[],[]
Chef Corner,Koramangala,NA,Not enough,150,['12 No'],['12 Mi'],North Indian,[],[],[],[],[],[],[]
