Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes
Polar Bear,Banashankari,3.4,555,350,['12 No'],['1130 PM'],"Desserts, Fast Food","['Home Delivery', 'Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],['HotChocolateFudge'],[],[],[]
Atithi Point Ande Ka Funda,Banashankari,2.9,513,150,['10 AM'],['10 PM'],North Indian,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Fudge,Banashankari,3.2,58,150,['1030 AM'],['1030 PM'],Desserts,['Desserts and Bakes'],[],[],[],[],[],[]
The Right Moo Organic Icecreams,Banashankari,NA,Not enough,300,['1030 AM'],['11 PM'],Desserts,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[]
Ayodhya Upachar,Banashankari,3.6,530,200,['7 AM'],['11 PM'],"South Indian, North Indian",[],[],[],[],[],[],[]
Nithin Fast Food,Banashankari,NA,Not enough,200,['7 AM'],['930 PM'],Fast Food,['Breakfast'],[],[],[],[],[],[]
Kholi Mane,Banashankari,2.8,520,250,"['11 AM', '630 PM']","['330 PM', '11 PM']","North Indian, South Indian",['Home Delivery'],[],[],[],[],[],[]
Ragoo's,Banashankari,3.1,514,800,['1030 AM'],['1030 PM'],"Italian, North Indian","['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Sri Guru Kottureshwara Davangere Benne Dosa,Banashankari,3.9,5233,150,"['730 AM', '430 PM']","['1 PM', '10 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['BenneDosa', 'FilterCoffee', 'AlooPalya', 'KaliDosa', 'Poha', 'ChilliBajji']",[],[],[]
Mini Punjabi Dhaba,Banashankari,3.5,596,350,"['12 No', '7 PM']","['4 PM', '11 PM']",North Indian,['Vegetarian Only'],[],[],"['DalTadka', 'BhindiFry', 'VegBiryani', 'Kulcha', 'SweetLassi', 'BhindiMasala']",['PromptService'],[],[]
Srinagar Kabab Corner,Banashankari,NA,Not enough,250,['11 AM'],['11 PM'],North Indian,[],[],[],[],[],[],[]
San Churro Cafe,Banashankari,3.6,5545,750,['9 AM'],['11 PM'],"Desserts, Fast Food, Cafe","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],"['Churros', 'Nachos', 'HotChocolate', 'PinkSaucePasta', 'Churro', 'SupremeVegPizza']",[],"['Decor', 'Cozy']",[]
Vi Ra's Bar and Restaurant,Banashankari,3.2,537,800,['11 AM'],['11 PM'],"South Indian, North Indian, Chinese","['Full Bar Available', 'Nightlife']",[],[],[],[],[],[]
Chumma Delicious,Banashankari,NA,Not enough,200,['6 AM'],['1030 PM'],"South Indian, Fast Food",['Breakfast'],[],[],[],[],[],[]
SLV Refreshment,Banashankari,3.7,550,100,"['6 AM', '4 PM']","['12 No', '830 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['Coffee', 'KharaBhath', 'IdliVada']",[],[],[]
My Tea House,Banashankari,2.8,532,600,['11 AM'],['1045 PM'],"Italian, Fast Food, Cafe, European","['Home Delivery', 'Live Sports Screening']",[],[],[],[],[],[]
Swadesh Tadka,Banashankari,3.3,5114,600,"['12 No', '7 PM']","['4 PM', '1030 PM']","North Indian, Chinese","['Home Delivery', 'Vegetarian Only', 'Smoking AreaWifi']",[],[],"['GulabJamun', 'MasalaPapad', 'KadhaiVeg', 'ClearSoup', 'HaraBharaKebab', 'Jal-jeera']",[],[],[]
Hotel Nisarga,Banashankari,NA,Not enough,250,"['11 AM', '7 PM']","['4 PM', '11 PM']","North Indian, South Indian",[],[],[],[],[],[],[]
North Chatpata Cafe,Banashankari,NA,Not enough,300,['11 AM'],['10 PM'],"Cafe, North Indian","['Breakfast', 'Takeaway Only', 'Seating Not Available']",[],[],[],[],[],[]
Shringar Sweets & Snacks,Banashankari,3.1,55,200,['10 AM'],['10 PM'],Street Food,"['Vegetarian Only', 'Self ServiceDesserts and Bakes']",[],[],[],[],[],[]
Cake Bite,Banashankari,NA,Not enough,300,['630 AM'],['1030 PM'],Bakery,"['Home Delivery', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[]
J Spice,Banashankari,3.5,538,750,"['11 AM', '7 PM']","['3 PM', '11 PM']","North Indian, Chinese","['Home Delivery', 'Full Bar Available', 'Valet Parking Available']",[],[],"['StuffedMushroom', 'ChickenBiryani', 'Beer', 'FishCurry']",[],[],[]
AFC - Amrutha Food Corner,Banashankari,NA,Not enough,200,['630 AM'],['10 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Self Service']",[],[],[],[],[],[]
Jcubez,Banashankari,3.4,5567,1400,['11 AM'],['11 PM'],Finger Food,"['Full Bar Available', 'WifiNightlifeSmoking Area']",[],[],"['Beer', 'ChilliChicken']",[],"['Dj', 'CozyPlace']",[]
Just Bake,Banashankari,2.7,530,400,['1030 AM'],['11 PM'],Bakery,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[]
Mumma's Day Out,Banashankari,3.8,556,400,['830 AM'],['10 PM'],North Indian,"['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['Poha', 'Buttermilk']",[],[],[]
Navi Super Cakes,Banashankari,3,55,200,['11 AM'],['930 PM'],Bakery,['Outdoor SeatingDesserts and Bakes'],[],[],[],[],[],[]
Hot Teas,Banashankari,NA,Not enough,300,['10 AM'],['9 PM'],"Cafe, Burger",['Vegetarian Only'],[],[],[],[],[],[]
RS Shiv Sagar,Banashankari,3.4,5131,500,['730 AM'],['1030 PM'],"North Indian, Chinese, South Indian, Mexican, Fast Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Serves Jain Food']",[],[],"['Brownie', 'PaneerButterMasala', 'MasalaPapad', 'GobhiManchurian', 'FriedRice', 'BabycornManchurian']",[],[],[]
Just Bake,Banashankari,2.9,515,400,['930 AM'],['10 PM'],Bakery,"['Breakfast', 'Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[]
Swathi Cool Point,Banashankari,NA,Not enough,200,['830 AM'],['1030 PM'],"North Indian, Beverages","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Waffle-A-Go Go,Banashankari,3.6,527,400,['430 PM'],['1030 PM'],"Fast Food, Desserts, Ice Cream",['Desserts and Bakes'],[],[],[],[],[],[]
Jalsa,Banashankari,3.6,5381,800,"['12 No', '7 PM']","['330 PM', '11 PM']","North Indian, Mughlai, Chinese","['Home Delivery', 'Wheelchair Accessible', 'Serves Non Veg', 'Full Bar Available', 'Outdoor SeatingSmoking AreaValet Parking AvailableLive Sports Screening']",[],[],"['KalmiKebab', 'PaneerLajawab', 'MasalaPapad', 'LunchBuffet', 'PaneerSubzi', 'DalMakhani']",[],"['Decor', 'RooftopAmbience']",[]
Mane Biriyani,Banashankari,NA,Not enough,300,['11 AM'],['11 PM'],Biryani,['Home Delivery'],[],[],[],[],[],[]
Kotian Karavali Restaurant,Banashankari,3.1,57,300,"['1230 PM', '6 PM']","['430 PM', '11 PM']",South Indian,['Home Delivery'],[],[],[],[],[],[]
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Spoon Mee,Banashankari,NA,Not enough,250,['10 AM'],['10 PM'],"Ice Cream, Burger","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Kamat Bugle Rock,Banashankari,3.7,5390,250,['9 AM'],['10 PM'],"South Indian, Fast Food","['Breakfast', 'Vegetarian Only']",[],[],"['JowarRoti', 'Buttermilk', 'Coffee', 'JoladaRotti', 'BrinjalCurry', 'VegBiryani']",['FriendlyStaff'],[],[]
Donne Biriyani House,Banashankari,3.1,511,350,"['11 AM', '630 PM']","['430 PM', '11 PM']","Biryani, Andhra",['Home Delivery'],[],[],[],[],[],[]
Cake Ghar,Banashankari,NA,Not enough,400,['11 AM'],['10 PM'],"Bakery, Desserts","['Takeaway Only', 'Seating Not Available', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Kono Pizza,Banashankari,2.7,536,500,['1030 AM'],['1030 PM'],Pizza,[],[],[],['MasalaFries'],[],[],[]
Kaggis,Banashankari,3.3,546,250,['730 AM'],['10 PM'],"Bakery, Fast Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Greenz,Banashankari,3.2,59,800,['10 AM'],['1230 AM'],"Continental, Italian, Salad","['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[]
Rasoi,Banashankari,2.6,556,300,['11 AM'],['11 PM'],North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Grand Village,Banashankari,3.4,558,600,"['1230 PM', '730 PM']","['330 PM', '1030 PM']","North Indian, Rajasthani","['Vegetarian Only', 'Buffet']",[],[],['Panipuri'],[],[],[]
Om Shiva Shakti Chats Centre,Banashankari,3.3,517,100,['12 No'],['11 PM'],Street Food,['Vegetarian Only'],[],[],[],[],[],[]
Sri Krishna Sweets,Banashankari,3.3,515,150,['930 AM'],['930 PM'],"Desserts, Mithai",['Desserts and Bakes'],[],[],[],[],[],[]
Dakshin Grand,Banashankari,3.2,512,300,['630 AM'],['1030 PM'],"Juices, South Indian, Fast Food, North Indian, Chinese","['Breakfast', 'WifiPrivate Dining Area Available']",[],[],[],[],[],[]
Bangalore Agarwal Bhavan,Banashankari,3.5,5227,500,['7 AM'],['1030 PM'],"North Indian, Street Food, Mithai","['Breakfast', 'Vegetarian Only', 'Serves Jain Food']",[],[],"['TawaPulao', 'KeralaParatha', 'PavBhaji', 'Jalebi', 'VadaPav', 'Dabeli']",[],[],[]
SLV Corner Restaurant,Banashankari,3.9,5221,550,['8 AM'],['1030 PM'],"North Indian, Chinese, South Indian","['Breakfast', 'Vegetarian Only']",[],[],"['MasalaDosa', 'FilterCoffee', 'MaddurVada', 'OnionDosa', 'Upma', 'CurdVada']",['FriendlyStaff'],[],[]
Hide Out Cafe,Banashankari,3,54,300,['10 AM'],['11 PM'],Cafe,['Smoking Area'],[],[],[],[],[],[]
TummyKhush,Banashankari,3.1,56,150,['10 AM'],['8 PM'],Fast Food,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Kollapuri's,Banashankari,3.6,583,350,"['12 No', '7 PM']","['4 PM', '1030 PM']","Andhra, North Indian, Chinese",['Home Delivery'],[],[],"['ChickenBiryani', 'MuttonBiryani', 'ChickenFry']",[],[],[]
Raams Chicken,Banashankari,3,58,300,['11 AM'],['11 PM'],Andhra,[],[],[],[],[],[],[]
Panchami,Banashankari,2.8,512,300,['10 AM'],['1030 PM'],"North Indian, Chinese",['Vegetarian Only'],[],[],[],[],[],[]
Priya Anda Ka Funda,Banashankari,3.2,58,300,['11 AM'],['11 PM'],"North Indian, Chinese, Fast Food",['Home Delivery'],[],[],[],[],[],[]
Butter Sponge,Banashankari,3.7,589,200,['10 AM'],['10 PM'],"Bakery, Desserts",['Desserts and Bakes'],[],[],"['VegPuff', 'AppleCake', 'FruitCake', 'SpongeCake', 'KharaBun']",[],[],[]
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Sri Venkateshwara Chat Centre,Banashankari,NA,Not enough,100,['4 PM'],['10 PM'],Street Food,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Vaishali Deluxe,Banashankari,3.4,521,700,"['1130 AM', '630 PM']","['330 PM', '1130 PM']","North Indian, Chinese","['Home Delivery', 'Beer', 'Smoking Area']",[],[],[],[],[],[]
Icecream House,Banashankari,3,57,200,['11 AM'],['11 PM'],Desserts,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
FreshMenu,Banashankari,3.7,5140,500,['8 AM'],['1030 PM'],"Asian, Continental, Mediterranean, Salad, American","['Breakfast', 'Delivery Only', 'Seating Not Available', 'Serves Halal']",[],[],['ThaiRice'],[],[],[]
Jemann,Banashankari,NA,Not enough,250,['1215 PM'],['915 PM'],North Indian,"['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[]
Bridgeway,Banashankari,3.3,526,550,['12 No'],['12 Mi'],"North Indian, Chinese",[],[],[],[],[],[],[]
Kaapi Thindi,Banashankari,NA,Not enough,200,['7 AM'],['930 PM'],"Cafe, South Indian","['Breakfast', 'Takeaway Only', 'Seating Not Available']",[],[],[],[],[],[]
Cake Of The Day,Banashankari,3.2,552,150,['830 AM'],['10 PM'],Bakery,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Ardha Coffee,Banashankari,NA,Not enough,300,"['630 AM', '4 PM']","['1230 PM', '8 PM']","Cafe, Street Food",['Home Delivery'],[],[],[],[],[],[]
Sweet N Swirl,Banashankari,3,512,150,['1030 AM'],['1030 PM'],"Desserts, Ice Cream","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Chefie,Banashankari,3.2,55,600,['10 AM'],['1030 PM'],"American, Continental, Fast Food, North Indian, Italian, Chinese","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[]
Domino's Pizza,Banashankari,3,5109,750,['11 AM'],['11 PM'],Pizza,['Home Delivery'],[],[],"['LavaCake', 'StuffedGarlicBread']",[],[],[]
Ovenstory Pizza,Banashankari,3.1,511,700,['11 AM'],['11 PM'],Pizza,"['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[]
Beijing Bites,Banashankari,2.4,559,600,"['12 No', '7 PM']","['330 PM', '11 PM']","Chinese, Thai",['Home Delivery'],[],[],"['BasilChicken', 'ManchowSoup']",[],[],[]
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Sri Venkateshwara Sweetmeat Stall,Banashankari,3.4,517,300,['9 AM'],['9 PM'],"Mithai, Street Food","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Corner House Ice Cream,Banashankari,3.9,579,250,['11 AM'],['11 PM'],"Ice Cream, Desserts","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],"['HotChocolateFudge', 'CakeFudge', 'BrownieFudgeSundae']",[],[],[]
Spice Elephant,Banashankari,4,585,800,"['12 No', '7 PM']","['330 PM', '11 PM']","Chinese, North Indian, Thai",[],[],[],"['ChocolateNirvana', 'Kulcha']",['CourteousStaff'],['Decor'],[]
Srinathji's Cafe,Banashankari,3.3,5108,400,['10 AM'],['10 PM'],"North Indian, Chinese, Pizza, Fast Food, Street Food, Cafe","['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['PunjabiSamosa', 'ChilliIdli', 'CholeBhature', 'WheatParatha']",[],[],[]
Blue Wings Bar & Restaurant,Banashankari,3.4,522,700,['11 AM'],['11 PM'],"North Indian, Chinese","['Full Bar Available', 'Nightlife']",[],[],[],[],[],[]
Aha Ami Ruchi,Banashankari,3.2,519,800,['730 AM'],['1045 PM'],"Andhra, North Indian, Mughlai",['Home Delivery'],[],[],[],[],[],[]
Utsav,Banashankari,3.6,540,200,"['12 No', '7 PM']","['330 PM', '1030 PM']","North Indian, Street Food","['Home Delivery', 'Vegetarian Only']",[],[],"['Samosa', 'Lassi', 'Jalebi', 'Kachori']",[],[],[]
Stop 'N' Joy,Banashankari,NA,Not enough,150,['9 AM'],['10 PM'],Fast Food,['Breakfast'],[],[],[],[],[],[]
Rolls Corner,Banashankari,3.1,513,150,['5 PM'],['10 PM'],Fast Food,['Outdoor Seating'],[],[],[],[],[],[]
Chai Mane,Banashankari,3.1,54,100,['7 AM'],['1030 PM'],"Juices, Burger, Ice Cream","['Breakfast', 'Home Delivery', 'Seating Not Available', 'Vegetarian Only']",[],[],[],[],[],[]
Just Shawarma,Banashankari,3.8,5207,200,['1230 PM'],['10 PM'],Arabian,"['Home Delivery', 'Seating Not Available']",['Pocket friendly'],[],"['WholeMeatShawarma', 'ShawarmaRoll', 'Fries', 'ChickenShawarama', 'KeralaParatha']",['CourteousStaff'],[],[]
Biriyani Gammath,Banashankari,NA,Not enough,300,"['12 No', '6 PM']","['4 PM', '1030 PM']","South Indian, Biryani",[],[],[],[],[],[],[]
Harshi Super Sandwich,Banashankari,3.5,5100,150,['1030 AM'],['930 PM'],"Fast Food, Street Food","['Home Delivery', 'Vegetarian Only']",[],[],"['ChocolateSandwich', 'DahiSandwich']",[],[],[]
Casablanka,Banashankari,3.7,5465,550,['11 AM'],['1030 PM'],"Cafe, Continental, Steak, Italian",['Live Sports Screening'],[],[],"['Pancakes', 'CajunChickenSizzler', 'JalapenoPoppers', 'ChickenWings', 'ChickenBurger', 'ChickenLasagne']",['Decor'],[],['CheesyFries']
Pizza Hut,Banashankari,3.6,5340,750,['11 AM'],['11 PM'],"Pizza, Fast Food",['Home Delivery'],[],[],['PotatoWedges'],"['FriendlyStaff', 'ExtraordinaryService']",['ArtisticAmbience'],[]
Parampare,Banashankari,NA,Not enough,500,"['12 No', '7 PM']","['4 PM', '1030 PM']","Biryani, South Indian",['Home Delivery'],[],[],[],[],[],[]
Kavali,Banashankari,3.3,510,400,NA,NA,South Indian,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
The Chocolate Room,Banashankari,3.2,59,600,['11 AM'],['11 PM'],"Cafe, Desserts, Bakery","['Vegetarian Only', 'WifiServes Jain FoodDesserts and BakesOutdoor Seating']",[],[],[],[],[],[]
Linnet Bar & Restaurant,Banashankari,NA,Not enough,1200,['1130 AM'],['1130 PM'],"North Indian, Chinese","['Full Bar Available', 'Nightlife']",[],[],[],[],[],[]
Hara Fine Dine,Banashankari,3.7,5466,800,"['12 No', '7 PM']","['330 PM', '11 PM']","North Indian, Chinese","['Home Delivery', 'Vegetarian Only', 'Valet Parking Available']",['Veggie friendly'],[],"['MalaiKofta', 'Jal-jeera', 'CorianderSoup', 'Manchurian', 'MangoLassi', 'PaneerPatiala']",[],"['LovelyAmbience', 'SoothingAmbience']",[]
Diabetics Dezire Sugarless Sweets and Bakes,Banashankari,3.1,55,300,['10 AM'],['9 PM'],"Desserts, Mithai","['Home Delivery', 'Vegetarian Only', 'Desserts and BakesWallet Accepted']",[],[],[],[],[],[]
Yo Roll Corner,Banashankari,3,57,200,['10 AM'],['930 PM'],Street Food,[],[],[],[],[],[],[]
SLV Swadishta,Banashankari,3.4,574,300,['7 AM'],['1030 PM'],South Indian,['Vegetarian Only'],[],[],"['Coffee', 'JeeraRice']",[],[],[]
Katriguppe Donne Biryani,Banashankari,NA,Not enough,300,"['12 No', '6 PM']","['4 PM', '1130 PM']",North Indian,"['Home Delivery', 'Seating Not Available', 'Self Service']",[],[],[],[],[],[]
Roving Feast,Banashankari,3.7,5792,350,['11 AM'],['10 PM'],"Italian, Continental, Fast Food, Chinese",['Home Delivery'],[],['SmallcosyplaceservingabitofChinese'],"['ChickenRoll', 'DragonChopSuey', 'Nachos', 'PaneerRoll', 'EggRoll', 'FalafelRoll']",[],[],[]
Bengaluru Coffee House,Banashankari,3.7,540,150,"['630 AM', '4 PM']","['1230 PM', '830 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['Coffee', 'KharaBhath', 'IdliVada', 'MasalaDosa', 'TirupathiPongal', 'KhaliDosa']",[],[],[]
Darbar,Banashankari,2.6,549,800,['11 AM'],['11 PM'],"North Indian, Chinese","['Home Delivery', 'Full Bar Available', 'NightlifeOutdoor SeatingSmoking Area']",[],[],[],[],[],[]
South Kitchen,Banashankari,4.1,5179,100,"['7 AM', '4 PM']","['12 No', '9 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['KharaBhath', 'KesariBhaat', 'IdliVada', 'CrispyVada', 'IdliChutney', 'FilterCoffee']",[],[],[]
Vybhava,Banashankari,3.5,528,250,['630 AM'],['1030 PM'],"South Indian, North Indian","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
Atithi,Banashankari,3,59,750,['1130 AM'],['1030 PM'],North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Dal Tadkaa,Banashankari,2.5,5194,300,"['12 No', '630 PM']","['3 PM', '1030 PM']",North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],"['VanillaIceCream', 'BoondhiRaita', 'TomatoSoup', 'DalTadka', 'Jal-jeera', 'SweetLassi']",['Decor'],[],[]
Kidambi's Kitchen,Banashankari,2.8,541,300,['1145 AM'],['330 PM'],South Indian,"['Home Delivery', 'Vegetarian Only', 'Valet Parking Available']",[],[],[],[],[],[]
CakeZone,Banashankari,3.6,510,500,['7 AM'],['12 Mi'],"Bakery, Desserts","['Delivery Only', 'Seating Not Available', 'Desserts and BakesWallet Accepted']",[],[],[],[],[],[]
Sandwichwallas,Banashankari,3.6,588,250,['1030 AM'],['10 PM'],Fast Food,['Vegetarian Only'],[],[],"['VegBurger', 'FrenchFries', 'OreoShake', 'GarlicBreadRichy']",[],[],[]
Catch-up-ino,Banashankari,3.8,544,800,['11 AM'],['11 PM'],"Cafe, Burger, Steak, Continental, Chinese",['RooftopOutdoor SeatingSmoking AreaWifiLive Sports ScreeningWallet Accepted'],[],[],"['Shisha', 'Brownie', 'FrenchFries']",[],[],[]
New Imperial Restaurant,Banashankari,3,516,450,['11 AM'],['11 PM'],"North Indian, Chinese",[],[],[],[],[],[],[]
Coffee Bytes,Banashankari,2.9,55,100,"['7 AM', '4 PM']","['1230 PM', '830 PM']","Fast Food, South Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Five Star Chicken,Banashankari,2.8,520,300,['10 AM'],['10 PM'],"Fast Food, Burger",['Serves Halal'],[],[],[],[],[],[]
Sangam Military Hotel,Banashankari,3,58,250,['12 No'],['11 PM'],South Indian,[],[],[],[],[],[],[]
Banashankari Donne Biryani,Banashankari,3.1,55,350,"['7 AM', '630 PM']","['330 PM', '11 PM']","South Indian, Chinese","['Breakfast', 'Home Delivery', 'Self Service']",[],[],[],[],[],[]
Shri Vinayaka Ice N Juice,Banashankari,NA,Not enough,150,['10 AM'],['10 PM'],"Beverages, Fast Food","['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Puliyogare Point,Banashankari,4,5200,100,['7 AM'],['10 PM'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['SweetPongal', 'BisiBeleBhaath', 'Coffee', 'MiniIdli', 'VadaSambhar', 'CurdRice']",[],[],[]
Rotti Mane,Banashankari,NA,Not enough,100,"['1130 AM', '7 PM']","['4 PM', '11 PM']",South Indian,['Vegetarian Only'],[],[],[],[],[],[]
Stoned Monkey,Banashankari,4.4,5588,350,['11 AM'],['1 AM'],"Desserts, Ice Cream",['Desserts and BakesOutdoor SeatingWifi'],['Frozen delights'],[],"['Nachos', 'Cupcake', 'HotChocolateFudge', 'Tiramisu', 'Waffles', 'ButterscotchIceCream']",[],[],"['RedRomance', 'Mr.Rocher']"
New Prashanth Hotel,Banashankari,3.4,517,400,"['12 No', '7 PM']","['4 PM', '11 PM']",South Indian,[],[],[],[],[],[],[]
Gowri Sweet,Banashankari,NA,Not enough,400,['11 AM'],['11 PM'],"Mithai, Street Food","['Takeaway Only', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[]
The Biryani Cafe,Banashankari,3.7,5210,300,"['1230 PM', '630 PM']","['330 PM', '1030 PM']","Biryani, Andhra",['Home Delivery'],['Brilliant biryanis'],[],"['ChickenBiryani', 'ChickenKebab', 'VegBiryani', 'GingerChicken', 'EggBhurji', 'DonneBiryani']",[],[],"['ChillyChicken', 'HoneyChicken', 'CarrotHalwa', 'ChickenBiryani', 'SpicyFriedKebab', 'BiryaniCafeSpecialChickenFry', 'ChefSpecialChickenBoneless']"
Soho Bar & Grill,Banashankari,2.5,5251,900,['11 AM'],['1130 PM'],"North Indian, Chinese, Thai","['Full Bar Available', 'Outdoor SeatingNightlifeSmoking Area']",[],[],"['Shisha', 'ThaiChicken', 'Beer']",['RooftopAmbience'],[],[]
Kolkata Kathi Roll's,Banashankari,3.2,513,250,['9 AM'],['11 PM'],Fast Food,['Home Delivery'],[],[],[],[],[],[]
ET Restaurants,Banashankari,NA,Not enough,400,['12 No'],['10 PM'],North Indian,['Home Delivery'],[],[],[],[],[],[]
Nisarga Garden Restaurant,Banashankari,2.7,527,300,"['12 No', '7 PM']","['330 PM', '1030 PM']",South Indian,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Cuppa,Banashankari,3.2,514,550,['9 AM'],['11 PM'],"Cafe, Fast Food","['Breakfast', 'Outdoor Seating']",[],[],[],[],[],[]
Szechuan Dragon,Banashankari,3.9,5994,600,"['12 No', '7 PM']","['4 PM', '11 PM']","Chinese, Thai","['Home Delivery', 'Serves Non Veg']",[],['Valueformoney'],"['GobhiManchurian', 'Momos', 'VegManchowSoup', 'KungPaoChicken', 'ChickenLollipop', 'VegNoodle']","['CourteousStaff', 'FriendlyStaff']",[],[]
Pizza Stop,Banashankari,2.5,551,650,['1130 AM'],['1030 PM'],"Pizza, Italian","['Home Delivery', 'Vegetarian Only']",[],[],"['Nachos', 'ThinCrustPizza', 'WhiteSaucePasta']",[],[],[]
Presto Restaurant,Banashankari,2.8,5134,500,['11 AM'],['11 PM'],"North Indian, Chinese","['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['Coffee', 'LunchBuffet', 'Kulcha', 'CurdRice']",[],[],[]
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Aahar Utsav,Banashankari,2.9,531,500,['6 AM'],['11 PM'],"North Indian, South Indian, Chinese, Beverages","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
Asha Sweets Centre,Banashankari,3.2,511,100,['830 AM'],['10 PM'],"Desserts, Mithai","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Hotel Akshatha,Banashankari,NA,Not enough,300,"['12 No', '6 PM']","['4 PM', '10 PM']",South Indian,[],[],[],[],[],[],[]
Basavanagudi Restaurant,Banashankari,3.2,539,300,['730 AM'],['930 PM'],"South Indian, North Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Amande Patisserie,Banashankari,3.6,553,300,['9 AM'],['530 PM'],"Bakery, French, Desserts","['Home Delivery', 'Seating Not Available', 'Desserts and Bakes']",[],[],['Macaron'],[],[],[]
Karavali Lunch Home,Banashankari,NA,Not enough,300,"['1130 AM', '6 PM']","['4 PM', '11 PM']",South Indian,['Home Delivery'],[],[],[],[],[],[]
Nanda Gokula,Banashankari,3.3,536,400,['7 AM'],['11 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
Yaarub Hotel,Banashankari,NA,Not enough,250,['8 AM'],['11 PM'],South Indian,['Breakfast'],[],[],[],[],[],[]
Anna Kuteera,Banashankari,3.7,5119,400,['7 AM'],['11 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Wallet AcceptedSelf Service']",['Veggie friendly'],[],"['PaneerTikka', 'Breakfast', 'SetDosa']",[],[],"['OpenButterMasalaDosa', 'MoghalaiBiriyani', 'PannerKholapuri']"
SVKP Daily Fresh,Banashankari,3,54,350,"['6 AM', '6 PM']","['2 PM', '930 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
MonkeyBox,Banashankari,NA,Not enough,300,['12 No'],['9 PM'],"North Indian, Fast Food, Salad, Chinese","['Breakfast', 'Delivery Only', 'Seating Not Available', 'Kid Friendly']",[],[],[],[],[],[]
